week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
1st week,Meghalaya,East Jaintia Hills,Acute Diarrhoeal Disease,160,,2,1,2022,25.25157605,92.48405007,0.020353819,34.5,291.5333334
2nd week,Maharashtra,Gadchiroli,Malaria,7,2,10,1,2022,19.75907035,80.16228073,0.007479299,9,299.97
3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,18,1,2022,10.3826515,78.8191259,0.107412975,12,300.7666666
3rd week,Gujarat,Patan,Acute Diarrhoeal Disease,7,,11,1,2022,23.77405735,71.68373466,0.065094494,9,299.08
3rd week,Kerala,Ernakulam,Acute Diarrhoeal Disease,14,,24,12,2021,9.98408,76.2741457,0.041256081,33,303.028
3rd week,Tamil Nadu,Pudukottai,Acute Diarrhoeal Disease,8,,18,1,2022,10.3826515,78.8191259,0.107412975,12,300.7666666
5th week,Uttar Pradesh,Fatehpur,Acute Encephalitis Syndrome,1,,24,1,2022,25.8435395,80.91800397,0.099030119,,290.18
6th week,Maharashtra,Gadchiroli,Malaria,1,1,9,2,2022,19.75907035,80.16228073,8.36E-05,,300.0633334
6th week,Odisha,Koraput,Acute Diarrhoeal Disease,15,,11,2,2022,18.7232023,82.60811828,0.00049058,12,300.5566666
7th week,Gujarat,Ahmedabad,Acute Diarrhoeal Disease,67,,17,2,2022,23.0216238,72.5797068,7.25E-05,,302.5533334
7th week,West Bengal,Bardhaman,Acute Diarrhoeal Disease,89,,17,2,2022,23.41146995,87.84499445,0.003711026,,296.68
7th week,Kerala,Trivandrum,Acute Diarrhoeal Disease,5,,14,2,2022,8.4882267,76.947551,0.348763274,37,302.955
8th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,,23,2,2022,22.5760669,88.42006758,0.133323552,10,299.22
9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,24,2,2022,9.98408,76.2741457,0.051275566,40,302.8933334
9th week,West Bengal,South 24 parganas,Acute Diarrhoeal Disease,21,,23,2,2022,22.5760669,88.42006758,0.133323552,10,299.22
9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,,5,3,2022,22.642931,88.8930579,0.012725571,,299.72
9th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,21,,24,2,2022,9.98408,76.2741457,0.051275566,40,302.8933334
9th week,Karnataka,Tumakuru,Acute Diarrhoeal Disease,27,,3,3,2022,13.3400771,77.1006208,6.49E-05,7,308.4633334
9th week,West Bengal,South 24 Parganas,Acute Diarrhoeal Disease,21,,23,2,2022,22.5760669,88.42006758,0.133323552,10,299.22
9th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,359,,5,3,2022,22.642931,88.8930579,0.012725571,,299.72
10th week,Gujarat,Navsari,Acute Diarrhoeal Disease,57,,8,3,2022,20.952407,72.9323831,0.000137449,4,307.9233334
10th week,Gujarat,Gandhinagar,Acute Diarrhoeal Disease,14,,6,3,2022,23.2232877,72.6492267,7.10E-05,,307.38
10th week,Gujarat,Anand,Acute Gastroenteritis,24,,5,3,2022,22.5584995,72.9625629,5.63E-05,,307.34
10th week,Telangana,Nalgonda,Dengue,6,,11,3,2022,16.8579636,79.21749353,0.000133547,8,309.556
10th week,West Bengal,North 24 Parganas,Acute Diarrhoeal Disease,556,,5,3,2022,22.642931,88.8930579,0.012725571,,299.72
10th week,Kerala,Trivandrum,Dengue,9,,22,2,2022,8.4882267,76.947551,0.093703532,46,301.496
10th week,Tamil Nadu,Ariyalur,Dengue,6,,5,2,2022,11.07603595,79.11745538,0.012508729,10,303.384
10th week,Tamil Nadu,Ariyalur,pyrexia of unknown origin,15,,31,1,2022,11.07603595,79.11745538,0.083089587,10,300.355
10th week,Tamil Nadu,Virudhunagar,Dengue,17,,16,2,2022,9.5208936,77.8784564,0.307975438,7,306
11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,25,,17,3,2022,14.7874825,75.3996731,0.001275128,20,307.064
11th week,Karnataka,Haveri,Acute Diarrhoeal Disease,36,,18,3,2022,14.7874825,75.3996731,0.001077243,20,307.02
11th week,Kerala,Ernakulam,Acute Diarrhoeal Disease,16,,11,3,2022,9.98408,76.2741457,0.04311431,38,303.712
11th week,Maharashtra,Akola,Chikungunya,9,,12,3,2022,20.76181225,77.19211567,0.011401509,5,311.4666666
11th week,Odisha,Koraput,Acute Diarrhoeal Disease,41,,22,3,2022,18.7232023,82.60811828,0.000485165,,307.552
12th week,Gujarat,Navsari,Acute Diarrhoeal Disease,19,,27,3,2022,20.952407,72.9323831,8.80E-05,4,309.62
12th week,Gujarat,Kheda,Acute Diarrhoeal Disease,19,,23,3,2022,22.75,72.833333,8.42E-05,6,311.6233334
12th week,Karnataka,Dakshin Kannada,Acute Diarrhoeal Disease,29,,23,3,2022,12.8827367,75.0309089,0.154846349,23,303.66
12th week,Maharashtra,Raigad,Dengue,11,,21,3,2022,18.4928092,73.13807095,0.000180034,,312.184
